vehicle_id,zone_name,latitude,longitude,soc_now,hour,day_of_week,demand_zone_score
RSB-1001-1000,Roissy-en-Brie,48.776096,2.660627,0.343,8,2,1.595
MAL-1001-1001,Malakoff,48.819355,2.29356,0.167,11,2,1.05
BOB-1001-1002,Bobigny,48.91763,2.430069,0.107,15,2,1.15
VRY-1001-1003,Viry-Chatillon,48.681785,2.379295,0.561,18,2,1.45
VLP-1001-1004,Villepinte,48.964762,2.553421,0.538,9,2,1.74
MAL-1001-1005,Malakoff,48.819386,2.284142,0.644,10,2,1.05
MAL-1001-1006,Malakoff,48.824406,2.279599,0.317,14,2,1.05
BOB-1001-1007,Bobigny,48.917765,2.456458,0.602,17,2,1.667
VLP-1001-1008,Villepinte,48.983809,2.515263,0.703,14,2,1.2
RSB-1001-1009,Roissy-en-Brie,48.798357,2.633477,0.27,21,2,1.1
RSB-1001-1010,Roissy-en-Brie,48.780666,2.66372,0.899,22,2,1.1
RSB-1001-1011,Roissy-en-Brie,48.812397,2.660124,0.587,8,2,1.595
BOB-1001-1012,Bobigny,48.929299,2.434057,0.76,18,2,1.667
BOB-1001-1013,Bobigny,48.911102,2.458887,0.809,9,2,1.667
BOB-1001-1014,Bobigny,48.91266,2.479261,0.532,16,2,1.15
MAL-1001-1015,Malakoff,48.811749,2.300911,0.588,19,2,1.522
MAL-1001-1016,Malakoff,48.819329,2.301118,0.339,10,2,1.05
RSB-1001-1017,Roissy-en-Brie,48.798616,2.668446,0.23,17,2,1.595
VRY-1001-1018,Viry-Chatillon,48.663642,2.376904,0.328,9,2,1.45
VRY-1001-1019,Viry-Chatillon,48.658086,2.358714,0.327,19,2,1.45
BOB-1001-1020,Bobigny,48.923564,2.448688,0.652,14,2,1.15
RSB-1001-1021,Roissy-en-Brie,48.789,2.635605,0.391,12,2,1.1
VRY-1001-1022,Viry-Chatillon,48.677122,2.379523,0.278,15,2,1.0
BOB-1001-1023,Bobigny,48.904039,2.450908,0.434,7,2,1.667
VRY-1001-1024,Viry-Chatillon,48.674277,2.388188,0.334,8,2,1.45
BOB-1001-1025,Bobigny,48.91204,2.441068,0.401,8,2,1.667
RSB-1001-1026,Roissy-en-Brie,48.800065,2.667839,0.338,10,2,1.1
MAL-1001-1027,Malakoff,48.834687,2.319925,0.288,19,2,1.522
RSB-1001-1028,Roissy-en-Brie,48.776242,2.630232,0.614,9,2,1.595
BOB-1001-1029,Bobigny,48.90628,2.471297,0.473,22,2,1.15
RSB-1001-1030,Roissy-en-Brie,48.785889,2.641794,0.35,21,2,1.1
RSB-1001-1031,Roissy-en-Brie,48.803881,2.642093,0.911,20,2,1.595
RSB-1001-1032,Roissy-en-Brie,48.785869,2.673707,0.199,19,2,1.595
MAL-1001-1033,Malakoff,48.820106,2.330005,0.606,6,2,1.05
RSB-1001-1034,Roissy-en-Brie,48.785875,2.650236,0.365,10,2,1.1
VLP-1001-1035,Villepinte,48.978534,2.542279,0.414,6,2,1.2
VRY-1001-1036,Viry-Chatillon,48.665965,2.37276,0.388,9,2,1.45
MAL-1001-1037,Malakoff,48.810252,2.309957,0.853,12,2,1.05
RSB-1001-1038,Roissy-en-Brie,48.789376,2.659801,0.569,16,2,1.1
VRY-1001-1039,Viry-Chatillon,48.663097,2.40611,0.492,20,2,1.45
MAL-1001-1040,Malakoff,48.822349,2.278592,0.37,21,2,1.05
VRY-1001-1041,Viry-Chatillon,48.672461,2.393806,0.866,17,2,1.45
RSB-1001-1042,Roissy-en-Brie,48.783675,2.647367,0.579,21,2,1.1
MAL-1001-1043,Malakoff,48.825757,2.301812,0.445,18,2,1.522
RSB-1001-1044,Roissy-en-Brie,48.779994,2.647069,0.435,7,2,1.595
RSB-1001-1045,Roissy-en-Brie,48.782952,2.631884,0.449,17,2,1.595
BOB-1001-1046,Bobigny,48.907472,2.470726,0.275,8,2,1.667
VLP-1001-1047,Villepinte,48.979954,2.542464,0.468,7,2,1.74
BOB-1001-1048,Bobigny,48.912387,2.436509,0.593,21,2,1.15
BOB-1001-1049,Bobigny,48.910853,2.434113,0.307,12,2,1.15
RSB-1001-1050,Roissy-en-Brie,48.785378,2.629976,0.89,11,2,1.1
MAL-1001-1051,Malakoff,48.815475,2.278298,0.328,7,2,1.522
MAL-1001-1052,Malakoff,48.807962,2.282676,0.212,22,2,1.05
MAL-1001-1053,Malakoff,48.817803,2.309649,0.375,14,2,1.05
VRY-1001-1054,Viry-Chatillon,48.664715,2.376293,0.395,10,2,1.0
VLP-1001-1055,Villepinte,48.994606,2.549571,0.379,7,2,1.74
VLP-1001-1056,Villepinte,48.973471,2.543681,0.353,6,2,1.2
BOB-1001-1057,Bobigny,48.915937,2.450283,0.867,21,2,1.15
BOB-1001-1058,Bobigny,48.901527,2.433613,0.758,14,2,1.15
VLP-1001-1059,Villepinte,48.986653,2.567218,0.462,22,2,1.2
MAL-1001-1060,Malakoff,48.821181,2.322368,0.704,16,2,1.05
VLP-1001-1061,Villepinte,48.971467,2.557434,0.314,22,2,1.2
RSB-1001-1062,Roissy-en-Brie,48.782636,2.645801,0.581,10,2,1.1
MAL-1001-1063,Malakoff,48.810553,2.318377,0.355,10,2,1.05
RSB-1001-1064,Roissy-en-Brie,48.78981,2.643967,0.479,19,2,1.595
MAL-1001-1065,Malakoff,48.817224,2.25616,0.447,21,2,1.05
MAL-1001-1066,Malakoff,48.815748,2.298584,0.525,15,2,1.05
RSB-1001-1067,Roissy-en-Brie,48.790342,2.646265,0.629,7,2,1.595
RSB-1001-1068,Roissy-en-Brie,48.793119,2.639955,0.413,20,2,1.595
BOB-1001-1069,Bobigny,48.907641,2.472169,0.58,19,2,1.667
BOB-1001-1070,Bobigny,48.927542,2.443225,0.85,13,2,1.15
VLP-1001-1071,Villepinte,48.960503,2.542523,0.925,12,2,1.2
MAL-1001-1072,Malakoff,48.797787,2.284312,0.419,19,2,1.522
RSB-1001-1073,Roissy-en-Brie,48.78092,2.633705,0.95,11,2,1.1
MAL-1001-1074,Malakoff,48.81946,2.312558,0.346,19,2,1.522
VRY-1001-1075,Viry-Chatillon,48.661768,2.360111,0.572,18,2,1.45
MAL-1001-1076,Malakoff,48.831848,2.298194,0.555,13,2,1.05
VRY-1001-1077,Viry-Chatillon,48.679003,2.375322,0.698,21,2,1.0
VLP-1001-1078,Villepinte,48.96741,2.545949,0.441,13,2,1.2
RSB-1001-1079,Roissy-en-Brie,48.800496,2.67482,0.325,22,2,1.1
VLP-1001-1080,Villepinte,48.971063,2.568541,0.521,8,2,1.74
RSB-1001-1081,Roissy-en-Brie,48.795787,2.635679,0.269,18,2,1.595
VLP-1001-1082,Villepinte,48.965113,2.550183,0.313,17,2,1.74
BOB-1001-1083,Bobigny,48.910882,2.447408,0.381,10,2,1.15
VLP-1001-1084,Villepinte,48.962328,2.560527,0.601,17,2,1.74
BOB-1001-1085,Bobigny,48.925462,2.454895,0.545,13,2,1.15
VRY-1001-1086,Viry-Chatillon,48.659632,2.375952,0.261,14,2,1.0
VRY-1001-1087,Viry-Chatillon,48.680024,2.35635,0.404,14,2,1.0
MAL-1001-1088,Malakoff,48.80896,2.313961,0.659,21,2,1.05
VRY-1001-1089,Viry-Chatillon,48.665815,2.381354,0.333,22,2,1.0
MAL-1001-1090,Malakoff,48.828043,2.310644,0.833,8,2,1.522
MAL-1001-1091,Malakoff,48.828866,2.305462,0.717,14,2,1.05
VRY-1001-1092,Viry-Chatillon,48.668598,2.401648,0.525,10,2,1.0
VRY-1001-1093,Viry-Chatillon,48.668559,2.366559,0.547,8,2,1.45
MAL-1001-1094,Malakoff,48.835571,2.30619,0.762,8,2,1.522
RSB-1001-1095,Roissy-en-Brie,48.803116,2.682135,0.633,11,2,1.1
VRY-1001-1096,Viry-Chatillon,48.675529,2.355787,0.649,13,2,1.0
VRY-1001-1097,Viry-Chatillon,48.670093,2.37874,0.582,10,2,1.0
VLP-1001-1098,Villepinte,48.966321,2.576437,0.598,20,2,1.74
VLP-1001-1099,Villepinte,48.981906,2.541461,0.534,13,2,1.2
BOB-1001-1100,Bobigny,48.908148,2.433494,0.278,10,2,1.15
BOB-1001-1101,Bobigny,48.90777,2.438859,0.582,14,2,1.15
BOB-1001-1102,Bobigny,48.909203,2.448447,0.331,19,2,1.667
VLP-1001-1103,Villepinte,48.970063,2.566019,0.641,21,2,1.2
VRY-1001-1104,Viry-Chatillon,48.652493,2.380786,0.883,8,2,1.45
MAL-1001-1105,Malakoff,48.820423,2.294893,0.307,20,2,1.522
VRY-1001-1106,Viry-Chatillon,48.673403,2.37406,0.751,13,2,1.0
VRY-1001-1107,Viry-Chatillon,48.665282,2.374681,0.461,14,2,1.0
VRY-1001-1108,Viry-Chatillon,48.686353,2.368798,0.479,16,2,1.0
VRY-1001-1109,Viry-Chatillon,48.681693,2.385694,0.583,20,2,1.45
