vehicle_id,zone_name,latitude,longitude,soc_now,hour,day_of_week,demand_zone_score
BOB-1002-1000,Bobigny,48.915776,2.448081,0.428,11,3,1.15
VLP-1002-1001,Villepinte,48.955243,2.563217,0.63,8,3,1.74
VRY-1002-1002,Viry-Chatillon,48.678474,2.374904,0.618,16,3,1.0
VRY-1002-1003,Viry-Chatillon,48.66622,2.396757,0.942,14,3,1.0
VLP-1002-1004,Villepinte,48.963278,2.551373,0.511,17,3,1.74
VLP-1002-1005,Villepinte,48.972947,2.540807,0.62,20,3,1.74
VRY-1002-1006,Viry-Chatillon,48.685367,2.343051,0.565,18,3,1.45
BOB-1002-1007,Bobigny,48.907764,2.442114,0.473,22,3,1.15
MAL-1002-1008,Malakoff,48.803966,2.307666,0.436,13,3,1.05
VLP-1002-1009,Villepinte,48.968697,2.541201,0.694,9,3,1.74
MAL-1002-1010,Malakoff,48.82628,2.306901,0.426,17,3,1.522
BOB-1002-1011,Bobigny,48.910917,2.449094,0.476,22,3,1.15
MAL-1002-1012,Malakoff,48.811697,2.299751,0.629,7,3,1.522
RSB-1002-1013,Roissy-en-Brie,48.806053,2.645019,0.554,21,3,1.1
BOB-1002-1014,Bobigny,48.90566,2.481825,0.563,13,3,1.15
BOB-1002-1015,Bobigny,48.908266,2.445486,0.352,6,3,1.15
VRY-1002-1016,Viry-Chatillon,48.674568,2.38434,0.592,20,3,1.45
MAL-1002-1017,Malakoff,48.804034,2.307666,0.365,17,3,1.522
VLP-1002-1018,Villepinte,48.971911,2.529255,0.233,7,3,1.74
MAL-1002-1019,Malakoff,48.812755,2.281856,0.519,6,3,1.05
RSB-1002-1020,Roissy-en-Brie,48.791784,2.655162,0.527,21,3,1.1
MAL-1002-1021,Malakoff,48.830068,2.28354,0.614,7,3,1.522
VRY-1002-1022,Viry-Chatillon,48.667431,2.372249,0.381,10,3,1.0
VRY-1002-1023,Viry-Chatillon,48.660526,2.344442,0.607,18,3,1.45
RSB-1002-1024,Roissy-en-Brie,48.799518,2.634883,0.202,17,3,1.595
VLP-1002-1025,Villepinte,48.952977,2.540864,0.487,20,3,1.74
VRY-1002-1026,Viry-Chatillon,48.668697,2.393085,0.546,7,3,1.45
RSB-1002-1027,Roissy-en-Brie,48.791214,2.657287,0.376,8,3,1.595
RSB-1002-1028,Roissy-en-Brie,48.781623,2.648867,0.229,15,3,1.1
VLP-1002-1029,Villepinte,48.967023,2.554264,0.491,13,3,1.2
VRY-1002-1030,Viry-Chatillon,48.683072,2.383055,0.778,14,3,1.0
BOB-1002-1031,Bobigny,48.910777,2.462441,0.333,17,3,1.667
RSB-1002-1032,Roissy-en-Brie,48.796797,2.64734,0.294,9,3,1.595
BOB-1002-1033,Bobigny,48.910664,2.455696,0.433,21,3,1.15
RSB-1002-1034,Roissy-en-Brie,48.79174,2.659726,0.294,17,3,1.595
VRY-1002-1035,Viry-Chatillon,48.689023,2.370523,0.73,6,3,1.0
BOB-1002-1036,Bobigny,48.910708,2.445321,0.614,7,3,1.667
VRY-1002-1037,Viry-Chatillon,48.684179,2.379988,0.548,21,3,1.0
BOB-1002-1038,Bobigny,48.90627,2.457528,0.407,15,3,1.15
VRY-1002-1039,Viry-Chatillon,48.676222,2.380651,0.373,21,3,1.0
MAL-1002-1040,Malakoff,48.827312,2.283246,0.348,16,3,1.05
RSB-1002-1041,Roissy-en-Brie,48.792357,2.633082,0.296,17,3,1.595
VLP-1002-1042,Villepinte,48.969814,2.541542,0.256,11,3,1.2
RSB-1002-1043,Roissy-en-Brie,48.805241,2.673379,0.532,18,3,1.595
VLP-1002-1044,Villepinte,48.972644,2.553929,0.476,17,3,1.74
VRY-1002-1045,Viry-Chatillon,48.65848,2.394287,0.613,20,3,1.45
VLP-1002-1046,Villepinte,48.97013,2.550787,0.461,17,3,1.74
MAL-1002-1047,Malakoff,48.825933,2.285993,0.571,20,3,1.522
MAL-1002-1048,Malakoff,48.81551,2.297386,0.18,19,3,1.522
RSB-1002-1049,Roissy-en-Brie,48.793173,2.646719,0.625,10,3,1.1
VLP-1002-1050,Villepinte,48.983596,2.557656,0.401,10,3,1.2
VRY-1002-1051,Viry-Chatillon,48.665644,2.389082,0.648,16,3,1.0
VRY-1002-1052,Viry-Chatillon,48.675606,2.398696,0.656,21,3,1.0
RSB-1002-1053,Roissy-en-Brie,48.785034,2.644932,0.559,7,3,1.595
VLP-1002-1054,Villepinte,48.968136,2.580338,0.697,9,3,1.74
MAL-1002-1055,Malakoff,48.828388,2.319842,0.419,11,3,1.05
MAL-1002-1056,Malakoff,48.81425,2.302276,0.511,12,3,1.05
RSB-1002-1057,Roissy-en-Brie,48.78382,2.663259,0.374,11,3,1.1
RSB-1002-1058,Roissy-en-Brie,48.782385,2.643787,0.686,17,3,1.595
VRY-1002-1059,Viry-Chatillon,48.67232,2.382409,0.686,21,3,1.0
MAL-1002-1060,Malakoff,48.818231,2.312255,0.649,12,3,1.05
RSB-1002-1061,Roissy-en-Brie,48.780532,2.648098,0.542,11,3,1.1
MAL-1002-1062,Malakoff,48.819466,2.303549,0.666,6,3,1.05
RSB-1002-1063,Roissy-en-Brie,48.795308,2.661364,0.337,20,3,1.595
MAL-1002-1064,Malakoff,48.819263,2.290614,0.357,15,3,1.05
MAL-1002-1065,Malakoff,48.814992,2.299612,0.627,21,3,1.05
MAL-1002-1066,Malakoff,48.826441,2.308745,0.317,6,3,1.05
BOB-1002-1067,Bobigny,48.920551,2.453861,0.586,9,3,1.667
MAL-1002-1068,Malakoff,48.825287,2.303685,0.39,22,3,1.05
VRY-1002-1069,Viry-Chatillon,48.661128,2.367897,0.267,8,3,1.45
MAL-1002-1070,Malakoff,48.832352,2.296662,0.93,10,3,1.05
BOB-1002-1071,Bobigny,48.905621,2.43272,0.589,11,3,1.15
MAL-1002-1072,Malakoff,48.810588,2.298709,0.437,9,3,1.522
VLP-1002-1073,Villepinte,48.963982,2.562496,0.547,21,3,1.2
RSB-1002-1074,Roissy-en-Brie,48.790479,2.658926,0.313,19,3,1.595
RSB-1002-1075,Roissy-en-Brie,48.780011,2.648875,0.484,12,3,1.1
RSB-1002-1076,Roissy-en-Brie,48.802816,2.643752,0.509,21,3,1.1
BOB-1002-1077,Bobigny,48.907113,2.450462,0.738,22,3,1.15
RSB-1002-1078,Roissy-en-Brie,48.792618,2.6464,0.584,6,3,1.1
VRY-1002-1079,Viry-Chatillon,48.69425,2.372799,0.846,10,3,1.0
MAL-1002-1080,Malakoff,48.817253,2.293572,0.53,12,3,1.05
BOB-1002-1081,Bobigny,48.916001,2.451414,0.539,21,3,1.15
VRY-1002-1082,Viry-Chatillon,48.675093,2.385543,0.616,10,3,1.0
VLP-1002-1083,Villepinte,48.978201,2.543974,0.273,7,3,1.74
VLP-1002-1084,Villepinte,48.961193,2.575417,0.112,16,3,1.2
RSB-1002-1085,Roissy-en-Brie,48.792197,2.659678,0.314,15,3,1.1
MAL-1002-1086,Malakoff,48.820914,2.309874,0.641,10,3,1.05
VLP-1002-1087,Villepinte,48.979195,2.511013,0.428,14,3,1.2
VLP-1002-1088,Villepinte,48.97999,2.55112,0.509,14,3,1.2
BOB-1002-1089,Bobigny,48.914584,2.444409,0.304,7,3,1.667
RSB-1002-1090,Roissy-en-Brie,48.774822,2.65579,0.446,19,3,1.595
VLP-1002-1091,Villepinte,48.970872,2.547864,0.223,18,3,1.74
RSB-1002-1092,Roissy-en-Brie,48.782347,2.637049,0.46,18,3,1.595
VLP-1002-1093,Villepinte,48.970492,2.543568,0.373,20,3,1.74
BOB-1002-1094,Bobigny,48.913537,2.472606,0.768,13,3,1.15
MAL-1002-1095,Malakoff,48.815594,2.311283,0.725,22,3,1.05
VRY-1002-1096,Viry-Chatillon,48.669074,2.368635,0.528,18,3,1.45
RSB-1002-1097,Roissy-en-Brie,48.792962,2.671216,0.542,6,3,1.1
VRY-1002-1098,Viry-Chatillon,48.663597,2.374862,0.348,22,3,1.0
BOB-1002-1099,Bobigny,48.901836,2.437253,0.676,20,3,1.667
VRY-1002-1100,Viry-Chatillon,48.660595,2.365954,0.368,13,3,1.0
RSB-1002-1101,Roissy-en-Brie,48.796894,2.6464,0.649,16,3,1.1
BOB-1002-1102,Bobigny,48.9057,2.439714,0.438,15,3,1.15
MAL-1002-1103,Malakoff,48.829025,2.287819,0.577,15,3,1.05
VLP-1002-1104,Villepinte,48.958764,2.555869,0.189,18,3,1.74
BOB-1002-1105,Bobigny,48.906196,2.466478,0.252,21,3,1.15
MAL-1002-1106,Malakoff,48.808415,2.296607,0.326,11,3,1.05
RSB-1002-1107,Roissy-en-Brie,48.807783,2.646215,0.491,9,3,1.595
VRY-1002-1108,Viry-Chatillon,48.665131,2.371581,0.877,11,3,1.0
RSB-1002-1109,Roissy-en-Brie,48.775389,2.643432,0.23,10,3,1.1
RSB-1002-1110,Roissy-en-Brie,48.784312,2.655799,0.384,14,3,1.1
VLP-1002-1111,Villepinte,48.961942,2.555853,0.738,20,3,1.74
VRY-1002-1112,Viry-Chatillon,48.666909,2.391986,0.653,7,3,1.45
BOB-1002-1113,Bobigny,48.910159,2.43744,0.396,11,3,1.15
MAL-1002-1114,Malakoff,48.827377,2.294205,0.431,22,3,1.05
RSB-1002-1115,Roissy-en-Brie,48.784884,2.683932,0.689,15,3,1.1
VRY-1002-1116,Viry-Chatillon,48.668146,2.379964,0.149,6,3,1.0
BOB-1002-1117,Bobigny,48.901604,2.469556,0.569,10,3,1.15
VRY-1002-1118,Viry-Chatillon,48.663212,2.378846,0.773,10,3,1.0
RSB-1002-1119,Roissy-en-Brie,48.784849,2.67342,0.116,12,3,1.1
MAL-1002-1120,Malakoff,48.82139,2.30304,0.485,7,3,1.522
MAL-1002-1121,Malakoff,48.820358,2.294711,0.479,13,3,1.05
MAL-1002-1122,Malakoff,48.817403,2.278534,0.643,14,3,1.05
VRY-1002-1123,Viry-Chatillon,48.683632,2.353606,0.792,12,3,1.0
BOB-1002-1124,Bobigny,48.914639,2.440738,0.602,11,3,1.15
VLP-1002-1125,Villepinte,48.980162,2.539066,0.643,6,3,1.2
MAL-1002-1126,Malakoff,48.830144,2.298496,0.251,15,3,1.05
MAL-1002-1127,Malakoff,48.815787,2.293437,0.662,10,3,1.05
MAL-1002-1128,Malakoff,48.816297,2.297463,0.618,22,3,1.05
RSB-1002-1129,Roissy-en-Brie,48.787601,2.642681,0.342,13,3,1.1
MAL-1002-1130,Malakoff,48.818552,2.308186,0.489,11,3,1.05
MAL-1002-1131,Malakoff,48.823897,2.306285,0.344,12,3,1.05
RSB-1002-1132,Roissy-en-Brie,48.785543,2.661266,0.11,14,3,1.1
BOB-1002-1133,Bobigny,48.89404,2.451194,0.292,13,3,1.15
BOB-1002-1134,Bobigny,48.920957,2.454565,0.54,21,3,1.15
BOB-1002-1135,Bobigny,48.896768,2.465049,0.355,14,3,1.15
BOB-1002-1136,Bobigny,48.918478,2.443326,0.377,8,3,1.667
MAL-1002-1137,Malakoff,48.831818,2.316883,0.656,20,3,1.522
VRY-1002-1138,Viry-Chatillon,48.664441,2.362168,0.468,18,3,1.45
VLP-1002-1139,Villepinte,48.964817,2.558652,0.285,19,3,1.74
RSB-1002-1140,Roissy-en-Brie,48.802576,2.663187,0.523,19,3,1.595
BOB-1002-1141,Bobigny,48.907529,2.450086,0.663,18,3,1.667
RSB-1002-1142,Roissy-en-Brie,48.78496,2.650119,0.477,20,3,1.595
RSB-1002-1143,Roissy-en-Brie,48.78827,2.657569,0.538,20,3,1.595
RSB-1002-1144,Roissy-en-Brie,48.79179,2.659719,0.568,22,3,1.1
