vehicle_id,zone_name,latitude,longitude,soc_now,hour,day_of_week,demand_zone_score,timestamp_iso,temp_c,rain_mm,battery_health,trips_last_24h,avg_trip_km,last_trip_km,last_trip_min,minutes_to_empty
VRY-1210-1000,Viry-Chatillon,48.665852,2.354567,0.377,15,2,1.0,2025-12-10T15:00,2.6,0.0,0.947,4,1.54,0.75,8.3,185.8
VLP-1210-1001,Villepinte,48.965569,2.551208,0.437,12,2,1.2,2025-12-10T12:00,4.8,0.0,0.929,3,2.01,2.33,13.7,198.2
BOB-1210-1002,Bobigny,48.89858,2.455114,0.422,12,2,1.15,2025-12-10T12:00,9.7,1.16,0.863,3,2.06,2.49,16.4,141.5
RSB-1210-1003,Roissy-en-Brie,48.767618,2.65249,0.578,21,2,1.1,2025-12-10T21:00,0.8,2.24,0.992,3,1.6,1.85,7.8,273.8
VLP-1210-1004,Villepinte,48.941635,2.549955,0.466,14,2,1.2,2025-12-10T14:00,8.9,0.53,0.972,7,2.58,2.58,11.2,191.5
MAL-1210-1005,Malakoff,48.832359,2.321432,0.386,12,2,1.05,2025-12-10T12:00,8.9,2.36,0.909,3,1.07,0.2,9.0,181.4
VRY-1210-1006,Viry-Chatillon,48.671848,2.382787,0.472,21,2,1.0,2025-12-10T21:00,7.3,0.0,0.886,2,1.48,1.73,7.8,267.6
VRY-1210-1007,Viry-Chatillon,48.658028,2.396345,0.95,20,2,1.45,2025-12-10T20:00,10.4,0.0,0.967,4,2.86,2.54,19.1,344.4
RSB-1210-1008,Roissy-en-Brie,48.7999,2.662322,0.741,13,2,1.1,2025-12-10T13:00,10.0,0.0,0.876,6,1.6,1.33,6.7,311.7
VRY-1210-1009,Viry-Chatillon,48.681942,2.367254,0.499,15,2,1.0,2025-12-10T15:00,4.1,0.87,0.963,2,0.3,0.7,4.7,251.5
BOB-1210-1010,Bobigny,48.90094,2.463819,0.331,11,2,1.15,2025-12-10T11:00,13.0,0.0,0.957,6,2.49,2.77,13.5,152.8
VRY-1210-1011,Viry-Chatillon,48.673209,2.358631,0.497,19,2,1.45,2025-12-10T19:00,12.0,0.02,0.863,6,2.78,2.99,11.2,182.6
VRY-1210-1012,Viry-Chatillon,48.663593,2.382424,0.626,14,2,1.0,2025-12-10T14:00,7.3,2.55,0.966,4,0.58,0.89,10.6,340.8
VLP-1210-1013,Villepinte,48.962913,2.543121,0.433,12,2,1.2,2025-12-10T12:00,4.0,2.27,0.967,3,3.8,4.89,14.2,176.7
RSB-1210-1014,Roissy-en-Brie,48.796129,2.641837,0.492,10,2,1.1,2025-12-10T10:00,3.8,0.0,0.95,3,1.74,2.79,11.6,197.6
RSB-1210-1015,Roissy-en-Brie,48.788986,2.64014,0.764,19,2,1.595,2025-12-10T19:00,8.1,0.0,1.0,8,1.81,1.03,12.5,226.1
MAL-1210-1016,Malakoff,48.812109,2.269813,0.554,7,2,1.522,2025-12-10T07:00,10.4,2.27,0.875,3,2.62,3.22,14.0,176.3
RSB-1210-1017,Roissy-en-Brie,48.784517,2.647091,0.608,17,2,1.595,2025-12-10T17:00,4.5,1.65,0.995,8,2.16,2.28,14.5,209.0
VLP-1210-1018,Villepinte,48.961704,2.574384,0.396,7,2,1.74,2025-12-10T07:00,7.1,0.74,0.943,3,3.6,4.29,19.7,87.3
VRY-1210-1019,Viry-Chatillon,48.674647,2.371959,0.547,6,2,1.0,2025-12-10T06:00,6.8,0.0,0.95,3,1.54,1.0,9.7,258.6
BOB-1210-1020,Bobigny,48.911134,2.419852,0.1,17,2,1.667,2025-12-10T17:00,7.6,0.34,0.972,3,2.59,3.18,20.9,9.8
RSB-1210-1021,Roissy-en-Brie,48.800074,2.653154,0.445,22,2,1.1,2025-12-10T22:00,6.4,1.17,0.862,0,2.35,2.33,11.0,204.2
RSB-1210-1022,Roissy-en-Brie,48.788553,2.65766,0.331,10,2,1.1,2025-12-10T10:00,9.9,5.9,0.892,2,2.43,2.29,7.8,133.2
RSB-1210-1023,Roissy-en-Brie,48.789897,2.648166,0.579,21,2,1.1,2025-12-10T21:00,2.1,0.28,0.948,5,1.73,1.09,7.2,259.1
VLP-1210-1024,Villepinte,48.945325,2.558369,0.509,22,2,1.2,2025-12-10T22:00,9.5,0.55,0.899,2,1.78,2.26,15.6,191.8
MAL-1210-1025,Malakoff,48.824984,2.303836,0.503,13,2,1.05,2025-12-10T13:00,10.0,4.5,0.922,4,1.81,1.84,8.9,250.5
VLP-1210-1026,Villepinte,48.968575,2.549723,0.5,21,2,1.2,2025-12-10T21:00,11.6,0.0,0.913,5,1.92,2.52,21.0,200.8
VLP-1210-1027,Villepinte,48.983756,2.540749,0.67,21,2,1.2,2025-12-10T21:00,4.8,2.22,0.986,1,1.79,1.95,17.2,285.2
MAL-1210-1028,Malakoff,48.815631,2.303304,0.392,21,2,1.05,2025-12-10T21:00,8.5,2.76,0.904,2,2.39,2.48,9.9,193.8
MAL-1210-1029,Malakoff,48.806262,2.297415,0.579,17,2,1.522,2025-12-10T17:00,4.4,0.0,0.915,8,2.74,2.72,17.3,189.8
BOB-1210-1030,Bobigny,48.904184,2.438792,0.296,6,2,1.15,2025-12-10T06:00,11.3,1.59,0.999,4,1.92,2.46,9.6,127.7
VLP-1210-1031,Villepinte,48.966918,2.549466,0.643,21,2,1.2,2025-12-10T21:00,12.2,0.0,0.947,4,2.37,2.55,15.6,270.6
RSB-1210-1032,Roissy-en-Brie,48.791276,2.635075,0.526,7,2,1.595,2025-12-10T07:00,9.4,1.79,0.957,3,3.4,2.48,20.8,138.0
VRY-1210-1033,Viry-Chatillon,48.68054,2.397744,0.309,9,2,1.45,2025-12-10T09:00,10.2,0.32,0.984,2,2.34,3.36,11.5,87.8
VLP-1210-1034,Villepinte,48.961342,2.54988,0.566,16,2,1.2,2025-12-10T16:00,10.3,1.12,0.961,5,2.03,2.64,12.5,249.1
RSB-1210-1035,Roissy-en-Brie,48.797185,2.636287,0.53,17,2,1.595,2025-12-10T17:00,6.3,0.34,0.938,6,4.14,4.51,17.5,179.1
BOB-1210-1036,Bobigny,48.925577,2.445564,0.391,19,2,1.667,2025-12-10T19:00,9.9,0.66,0.892,3,2.98,2.79,13.2,119.8
VLP-1210-1037,Villepinte,48.956411,2.539812,0.721,20,2,1.74,2025-12-10T20:00,11.3,0.75,0.875,4,3.72,2.94,19.2,211.4
BOB-1210-1038,Bobigny,48.892569,2.44324,0.517,19,2,1.667,2025-12-10T19:00,4.7,1.28,0.953,7,1.64,1.71,18.4,129.0
BOB-1210-1039,Bobigny,48.929954,2.427862,0.599,9,2,1.667,2025-12-10T09:00,7.5,0.0,0.905,5,3.14,2.52,13.4,156.8
VLP-1210-1040,Villepinte,48.962162,2.549587,0.347,16,2,1.2,2025-12-10T16:00,7.9,1.84,0.933,5,1.53,1.1,14.5,151.4
RSB-1210-1041,Roissy-en-Brie,48.790065,2.639266,0.519,10,2,1.1,2025-12-10T10:00,7.1,1.56,0.902,2,2.29,2.9,12.2,219.8
RSB-1210-1042,Roissy-en-Brie,48.791146,2.652538,0.579,22,2,1.1,2025-12-10T22:00,8.3,0.63,0.919,2,1.19,2.11,11.7,261.5
BOB-1210-1043,Bobigny,48.90341,2.440751,0.571,6,2,1.15,2025-12-10T06:00,9.4,0.0,0.897,5,1.52,1.88,14.3,258.0
BOB-1210-1044,Bobigny,48.902372,2.425163,0.615,6,2,1.15,2025-12-10T06:00,10.7,0.0,0.943,1,2.15,1.45,8.3,266.3
MAL-1210-1045,Malakoff,48.825819,2.311712,0.102,10,2,1.05,2025-12-10T10:00,4.4,0.0,0.997,3,1.3,1.72,6.1,58.6
VLP-1210-1046,Villepinte,48.975992,2.551965,0.325,9,2,1.74,2025-12-10T09:00,15.0,0.0,0.911,3,4.64,4.67,15.1,121.4
MAL-1210-1047,Malakoff,48.822409,2.288681,0.155,19,2,1.522,2025-12-10T19:00,6.0,1.66,0.892,3,3.01,2.63,14.9,64.4
VRY-1210-1048,Viry-Chatillon,48.680612,2.368437,0.463,18,2,1.45,2025-12-10T18:00,8.0,0.8,0.912,6,2.16,1.49,14.2,170.9
VRY-1210-1049,Viry-Chatillon,48.67332,2.354164,0.422,21,2,1.0,2025-12-10T21:00,7.1,2.19,0.993,1,2.19,2.11,3.7,212.9
BOB-1210-1050,Bobigny,48.912533,2.442131,0.536,11,2,1.15,2025-12-10T11:00,7.6,1.36,0.95,3,0.3,0.86,12.5,252.4
