vehicle_id,zone_name,latitude,longitude,soc_now,hour,day_of_week,demand_zone_score,timestamp_iso,temp_c,rain_mm,battery_health,trips_last_24h,avg_trip_km,last_trip_km,last_trip_min,minutes_to_empty
MAL-1003-1000,Malakoff,48.817419,2.284654,0.264,19,4,1.522,2025-10-03T19:00,17.9,2.0,0.902,6,1.92,2.59,17.0,83.2
BOB-1003-1001,Bobigny,48.897603,2.469947,0.179,9,4,1.667,2025-10-03T09:00,22.1,0.0,0.914,5,2.64,2.59,16.6,56.3
BOB-1003-1002,Bobigny,48.930049,2.466082,0.34,18,4,1.667,2025-10-03T18:00,19.6,0.0,0.951,6,3.3,2.96,13.4,83.3
RSB-1003-1003,Roissy-en-Brie,48.78912,2.667282,0.4,9,4,1.595,2025-10-03T09:00,15.8,2.87,0.864,5,2.48,2.3,17.0,120.5
MAL-1003-1004,Malakoff,48.818431,2.316416,0.387,20,4,1.522,2025-10-03T20:00,17.7,0.0,0.954,3,2.01,2.26,16.5,140.5
VLP-1003-1005,Villepinte,48.948511,2.551352,0.178,10,4,1.2,2025-10-03T10:00,17.2,2.51,0.862,3,1.91,1.31,15.1,75.7
BOB-1003-1006,Bobigny,48.894841,2.460426,0.259,21,4,1.15,2025-10-03T21:00,14.2,2.79,0.966,3,1.25,0.78,5.4,120.6
RSB-1003-1007,Roissy-en-Brie,48.79048,2.658501,0.533,9,4,1.595,2025-10-03T09:00,14.1,2.57,0.908,5,2.5,2.24,12.5,166.1
BOB-1003-1008,Bobigny,48.903809,2.446244,0.1,13,4,1.15,2025-10-03T13:00,9.8,1.16,0.983,2,1.6,1.56,17.3,56.3
VLP-1003-1009,Villepinte,48.978484,2.554265,0.508,15,4,1.2,2025-10-03T15:00,20.6,0.0,0.945,4,1.79,1.85,11.7,179.0
VLP-1003-1010,Villepinte,48.96738,2.553177,0.55,9,4,1.74,2025-10-03T09:00,22.2,0.82,0.934,6,2.64,2.03,18.1,148.9
BOB-1003-1011,Bobigny,48.902222,2.456003,0.27,12,4,1.15,2025-10-03T12:00,15.1,0.0,0.878,1,1.73,2.02,8.1,94.4
VRY-1003-1012,Viry-Chatillon,48.678473,2.381268,0.362,14,4,1.0,2025-10-03T14:00,21.4,0.0,0.869,3,2.64,2.28,8.1,148.1
VRY-1003-1013,Viry-Chatillon,48.664549,2.373948,0.789,6,4,1.0,2025-10-03T06:00,17.8,0.0,0.89,1,1.22,1.23,10.6,409.0
BOB-1003-1014,Bobigny,48.893523,2.464433,0.563,10,4,1.15,2025-10-03T10:00,12.6,1.34,0.931,5,1.99,1.83,9.0,263.8
VRY-1003-1015,Viry-Chatillon,48.66129,2.359048,0.549,14,4,1.0,2025-10-03T14:00,13.2,0.77,0.866,1,1.64,2.21,13.7,256.1
RSB-1003-1016,Roissy-en-Brie,48.796207,2.626397,0.287,12,4,1.1,2025-10-03T12:00,13.9,0.0,0.926,1,1.98,1.98,10.7,136.9
MAL-1003-1017,Malakoff,48.825132,2.31319,0.564,7,4,1.522,2025-10-03T07:00,13.4,0.0,0.99,4,2.4,1.18,8.7,189.2
MAL-1003-1018,Malakoff,48.819537,2.288112,0.447,13,4,1.05,2025-10-03T13:00,17.5,3.4,0.906,4,2.42,2.42,11.6,186.3
BOB-1003-1019,Bobigny,48.912341,2.440106,0.51,17,4,1.667,2025-10-03T17:00,17.8,2.09,0.938,5,2.56,2.7,18.0,175.6
RSB-1003-1020,Roissy-en-Brie,48.793129,2.630678,0.129,22,4,1.1,2025-10-03T22:00,19.3,0.35,0.981,2,2.76,3.4,6.0,90.5
