vehicle_id,zone_name,latitude,longitude,soc_now,hour,day_of_week,demand_zone_score,minutes_to_empty,pred_minutes_to_empty,pred_minutes_to_20pct,dist_km_to_hub,priority_score
MAL-1000,Malakoff,48.808881,2.294784,0.5,16,2,1.05,220.3,207.45650000000026,124.47390000000016,9.981901654577884,0.40824387579000526
ROI-1001,Roissy-en-Brie,48.785305,2.658138,0.454,6,3,1.1,164.8,164.15549999999962,91.84030176211432,20.91919347555222,0.42612465686640905
VIR-1002,Viry-Chatillon,48.66749,2.377542,0.446,17,6,1.667,119.3,117.34799999999977,64.72557847533619,22.134588888314532,0.627873794885877
BOB-1003,Bobigny,48.90849,2.435635,0.342,12,1,1.15,143.8,136.5324999999998,56.68893274853794,5.3954606713173385,0.6374772204491499
BOB-1004,Bobigny,48.912509,2.418324,0.354,12,3,1.15,129.2,135.96400000000028,59.14818079096057,5.3422761856065994,0.631619221898778
VIL-1005,Villepinte,48.978225,2.531687,0.95,7,5,2.001,223.3,207.47650000000016,163.79723684210538,15.757457332081472,0.5052389258985802
BOB-1006,Bobigny,48.927385,2.432571,0.268,13,5,1.322,53.6,70.06050000000019,17.77654477611945,7.229060380179171,0.7661103810047398
VIR-1007,Viry-Chatillon,48.693407,2.396065,0.298,18,0,1.45,76.1,82.04500000000014,26.981241610738298,19.19363172240419,0.6901510884767744
VIL-1008,Villepinte,48.975821,2.563316,0.299,8,2,1.74,66.0,76.01549999999999,25.169011705685612,17.073811250987177,0.782160473238786
VIL-1009,Villepinte,48.954918,2.566495,0.251,21,6,1.38,52.4,97.66149999999996,19.843571713147398,15.678333143552189,0.7156165805172439
ROI-1010,Roissy-en-Brie,48.774258,2.659569,0.509,8,0,1.595,132.4,138.75700000000023,84.23558546168972,21.56884926020507,0.5644351778032624
ROI-1011,Roissy-en-Brie,48.793614,2.673071,0.423,19,6,1.834,77.5,90.13999999999999,47.52061465721039,21.548326411957916,0.717340640309764
ROI-1012,Roissy-en-Brie,48.79087,2.645515,0.504,9,5,1.834,94.7,108.93800000000023,65.70863492063505,19.818786646428457,0.6834636958077307
ROI-1013,Roissy-en-Brie,48.806229,2.662356,0.54,7,1,1.595,165.4,153.00200000000032,96.3345925925928,20.319550643895273,0.5425979975853189
MAL-1014,Malakoff,48.814702,2.297699,0.391,16,1,1.05,139.2,140.93450000000033,68.8452416879797,9.412150175481964,0.5532872419495147
VIL-1015,Villepinte,48.978499,2.53033,0.293,18,0,1.74,60.7,75.70350000000002,24.028755972696246,15.721328869414117,0.7946135061325753
